Instruction,Abs,AbsX,AbsY,Acc,Imm,Imp,Ind,IndX,IndY,Rel,ZP,ZPX,ZPY
ADC,4,4*,4*,,2,,,6,5*,,3,4,
AND,4,4*,4*,,2,,,6,5*,,3,4,
ASL,6,7,,2,,,,,,,5,6,
BCC,,,,,,,,,,2**,,,
BCS,,,,,,,,,,2**,,,
BEQ,,,,,,,,,,2**,,,
BIT,4,,,,,,,,,,3,,
BMI,,,,,,,,,,2**,,,
BNE,,,,,,,,,,2**,,,
BPL,,,,,,,,,,2**,,,
BRK,,,,,,7,,,,,,,
BVC,,,,,,,,,,2**,,,
BVS,,,,,,,,,,2**,,,
CLC,,,,,,2,,,,,,,
CLD,,,,,,2,,,,,,,
CLI,,,,,,2,,,,,,,
CLV,,,,,,2,,,,,,,
CMP,4,4*,4*,,2,,,6,5*,,3,4,
CPX,4,,,,2,,,,,,3,,
CPY,4,,,,2,,,,,,3,,
DEC,6,7,,,,,,,,,5,6,
DEX,,,,,,2,,,,,,,
DEY,,,,,,2,,,,,,,
EOR,4,4*,4*,,2,,,6,5*,,3,4,
INC,6,7,,,,,,,,,5,6,
INX,,,,,,2,,,,,,,
INY,,,,,,2,,,,,,,
JMP,3,,,,,,5,,,,,,
JSR,6,,,,,,,,,,,,
LDA,4,4*,4*,,2,,,6,5*,,3,4,
LDX,4,,4*,,2,,,,,,3,,4
LDY,4,4*,,,2,,,,,,3,4,
LSR,6,7,,2,,,,,,,5,6,
NOP,,,,,,2,,,,,,,
ORA,4,4*,4*,,2,,,6,5*,,3,4,
PHA,,,,,,3,,,,,,,
PHP,,,,,,3,,,,,,,
PLA,,,,,,4,,,,,,,
PLP,,,,,,4,,,,,,,
ROL,6,7,,2,,,,,,,5,6,
ROR,6,7,,2,,,,,,,5,6,
RTI,,,,,,6,,,,,,,
RTS,,,,,,6,,,,,,,
SBC,4,4*,4*,,2,,,6,5*,,3,4,
SEC,,,,,,2,,,,,,,
SED,,,,,,2,,,,,,,
SEI,,,,,,2,,,,,,,
STA,4,5,5,,,,,6,6,,3,4,
STX,4,,,,,,,,,,3,,4
STY,4,,,,,,,,,,3,4,
TAX,,,,,,2,,,,,,,
TAY,,,,,,2,,,,,,,
TSX,,,,,,2,,,,,,,
TXA,,,,,,2,,,,,,,
TXS,,,,,,2,,,,,,,
TYA,,,,,,2,,,,,,,
